genes,trt,mean.value,root.voom5.module,query_id
BraA04g013620.3C,dead,-0.04057877167372592,paleturquoise,BRARA.D01116-MONOMER
BraA04g013620.3C,live,0.04057877167372589,paleturquoise,BRARA.D01116-MONOMER
BraA04g013850.3C,dead,0.0012588496276273132,red,BRARA.D01132-MONOMER
BraA04g013850.3C,live,-0.0012588496276273204,red,BRARA.D01132-MONOMER
BraA04g014140.3C,dead,0.17907276432427835,yellowgreen,BRARA.D01165-MONOMER
BraA04g014140.3C,live,-0.17907276432427835,yellowgreen,BRARA.D01165-MONOMER
BraA04g015350.3C,dead,0.251327000273047,lightyellow,BRARA.D01245-MONOMER
BraA04g015350.3C,live,-0.25132700027304705,lightyellow,BRARA.D01245-MONOMER
BraA04g015930.3C,dead,0.2065157824106249,lightyellow,BRARA.D01287-MONOMER
BraA04g015930.3C,live,-0.20651578241062496,lightyellow,BRARA.D01287-MONOMER
BraA04g016260.3C,dead,-0.042006713916862747,lightyellow,BRARA.D01315-MONOMER
BraA04g016260.3C,live,0.04200671391686277,lightyellow,BRARA.D01315-MONOMER
BraA04g020620.3C,dead,0.35295869701021315,yellowgreen,BRARA.D01723-MONOMER
BraA04g020620.3C,live,-0.3529586970102131,yellowgreen,BRARA.D01723-MONOMER
BraA04g021080.3C,dead,0.20754007067634,plum1,BRARA.D01764-MONOMER
BraA04g021080.3C,live,-0.20754007067633998,plum1,BRARA.D01764-MONOMER
BraA04g021100.3C,dead,0.27545655882323605,plum1,BRARA.D01767-MONOMER
BraA04g021100.3C,live,-0.27545655882323605,plum1,BRARA.D01767-MONOMER
BraA04g021120.3C,dead,0.28031437968584066,plum1,BRARA.D01769-MONOMER
BraA04g021120.3C,live,-0.2803143796858406,plum1,BRARA.D01769-MONOMER
BraA04g021300.3C,dead,0.046447489404056214,midnightblue,BRARA.D01782-MONOMER
BraA04g021300.3C,live,-0.046447489404056234,midnightblue,BRARA.D01782-MONOMER
BraA04g021500.3C,dead,0.022367941317510603,midnightblue,BRARA.D01802-MONOMER
BraA04g021500.3C,live,-0.022367941317510586,midnightblue,BRARA.D01802-MONOMER
BraA04g023060.3C,dead,0.13177131061723013,red,BRARA.D01938-MONOMER
BraA04g023060.3C,live,-0.13177131061723016,red,BRARA.D01938-MONOMER
BraA04g023130.3C,dead,-0.03862266784674422,red,BRARA.D01945-MONOMER
BraA04g023130.3C,live,0.03862266784674424,red,BRARA.D01945-MONOMER
BraA04g023850.3C,dead,0.08077498173896389,midnightblue,BRARA.D02018-MONOMER
BraA04g023850.3C,live,-0.0807749817389639,midnightblue,BRARA.D02018-MONOMER
BraA04g026300.3C,dead,0.11865970781079363,plum1,BRARA.D02256-MONOMER
BraA04g026300.3C,live,-0.11865970781079367,plum1,BRARA.D02256-MONOMER
BraA04g027300.3C,dead,0.08792588459836895,red,BRARA.D02353-MONOMER
BraA04g027300.3C,live,-0.08792588459836892,red,BRARA.D02353-MONOMER
BraA04g030680.3C,dead,0.08004138459584216,midnightblue,BRARA.D02737-MONOMER
BraA04g030680.3C,live,-0.08004138459584213,midnightblue,BRARA.D02737-MONOMER
BraA04g031710.3C,dead,-0.03967374059772033,red,BRARA.D02763-MONOMER
BraA04g031710.3C,live,0.039673740597720324,red,BRARA.D02763-MONOMER
