sample,genotype,trt,blk,sample_2,Phylum,Abundance,sample_3,sample_4
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Chloroflexi,0,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Acidobacteria,0,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,Cyanobacteria,0.00013056,F_b07,blk07.FPsc
FPsc.BLANK.NA.wk2.blk7.Db6.pot296,FPsc,No Inoculation,blk07,s_18,< 1% abundance,0,F_b07,blk07.FPsc
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Proteobacteria,0.521172426,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Firmicutes,0.162437984,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Bacteroidetes,0.190965271,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Actinobacteria,0.120049613,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Planctomycetes,0,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Verrucomicrobia,0.002067195,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Chloroflexi,0,r_b10,blk10.R500
R500.5E.dead.wk2.blk10.Db8.pot432,R500,Disrupted,blk10,s_19,Acidobacteria,4.35E-05,r_b10,blk10.R500
