exp,pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,descriptor,Leaf_Ln_cm,data_type,pot_density,time_point,raw_avg_lf_11.03.17,lf_1_03.24_no_germ,lf_2_03.24_no_germ
PGP Exp.,426,NA,10,3,6,2,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.694665443,RNAseq,3,wk4,NA,2.562298068,2.832832985
PGP Exp.,427,NA,10,3,7,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.239800168,RNAseq,3,wk4,NA,3.49170603,2.988720945
PGP Exp.,428,NA,10,3,8,2,FPsc,NA,Live,avg_lf_03.24_no_germ,3.039800168,RNAseq,3,wk2,NA,3.158372697,2.922054278
PGP Exp.,432,NA,10,3,8,3,R500,NA,Disrupted,avg_lf_03.24_no_germ,3.449530717,RNAseq,3,wk2,NA,3.899556772,3.010278358
PGP Exp.,435,NA,10,3,7,4,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.689800168,RNAseq,3,wk2,NA,2.825039363,2.555387612
PGP Exp.,444,NA,11,3,2,1,R500,NA,No inoculation,avg_lf_03.24_no_germ,4.782864051,phys,3,wk2,NA,5.332890105,4.243611691
PGP Exp.,445,NA,11,3,1,1,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,3.534934894,phys,3,wk4,NA,3.621113993,3.444608905
PGP Exp.,449,NA,11,3,2,2,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.706466835,phys,3,wk4,NA,5.19170603,4.222054278
PGP Exp.,451,NA,11,3,5,3,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.10160156,phys,3,wk4,NA,3.387780659,2.811275572
PGP Exp.,453,NA,11,3,3,3,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.634934894,phys,3,wk2,NA,3.354447326,3.911275572
PGP Exp.,455,NA,11,3,1,3,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.668268227,phys,3,wk2,NA,2.821113993,2.511275572
PGP Exp.,461,NA,11,3,5,5,R500,NA,Live,avg_lf_03.24_no_germ,3.999530717,phys,3,wk2,NA,3.966223438,4.043611691
PGP Exp.,462,NA,11,3,4,5,R500,NA,No inoculation,avg_lf_03.24_no_germ,5.084934894,phys,3,wk4,NA,5.154447326,5.011275572
PGP Exp.,463,NA,11,3,3,5,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.194665443,phys,3,wk2,NA,4.462298068,3.932832985
PGP Exp.,473,NA,11,3,9,2,FPsc,NA,Live,avg_lf_03.24_no_germ,2.966197384,phys,3,wk2,NA,2.932890105,3.010278358
PGP Exp.,477,NA,11,3,9,3,R500,NA,Live,avg_lf_03.24_no_germ,3.816197384,phys,3,wk4,NA,4.232890105,3.410278358
PGP Exp.,482,NA,11,3,6,5,FPsc,NA,Live,avg_lf_03.24_no_germ,3.777998776,phys,3,wk4,NA,4.495631401,3.066166318
PGP Exp.,485,NA,12,3,5,1,R500,NA,Live,avg_lf_03.24_no_germ,5.232864051,RNAseq,3,wk2,NA,5.499556772,4.976945024
PGP Exp.,494,NA,12,3,1,2,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.968268227,RNAseq,3,wk4,NA,3.221113993,2.711275572
PGP Exp.,504,NA,12,3,1,4,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.35160156,RNAseq,3,wk2,NA,4.921113993,3.777942239
PGP Exp.,505,NA,12,3,5,5,R500,NA,Disrupted,avg_lf_03.24_no_germ,4.399530717,RNAseq,3,wk4,NA,4.732890105,4.076945024
PGP Exp.,508,NA,12,3,2,5,FPsc,NA,No inoculation,avg_lf_03.24_no_germ,2.70160156,RNAseq,3,wk2,NA,3.021113993,2.377942239
PGP Exp.,509,NA,12,3,1,5,R500,NA,Live,avg_lf_03.24_no_germ,4.80160156,RNAseq,3,wk4,NA,5.121113993,4.477942239
PGP Exp.,511,NA,12,3,7,1,R500,NA,No inoculation,avg_lf_03.24_no_germ,4.266197384,RNAseq,3,wk4,NA,4.699556772,3.843611691
PGP Exp.,513,NA,12,3,9,1,R500,NA,No inoculation,avg_lf_03.24_no_germ,3.816197384,RNAseq,3,wk2,NA,4.066223438,3.576945024
PGP Exp.,514,NA,12,3,6,2,FPsc,NA,Live,avg_lf_03.24_no_germ,3.294665443,RNAseq,3,wk4,NA,2.995631401,3.599499651
PGP Exp.,517,NA,12,3,9,2,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,3.316197384,RNAseq,3,wk2,NA,3.699556772,2.943611691
PGP Exp.,523,NA,12,3,7,4,FPsc,NA,Live,avg_lf_03.24_no_germ,3.532864051,RNAseq,3,wk2,NA,3.699556772,3.376945024
PGP Exp.,525,NA,12,3,9,4,FPsc,NA,Disrupted,avg_lf_03.24_no_germ,2.716197384,RNAseq,3,wk4,NA,3.066223438,2.376945024
,,,,,,,,,,,,,,,,,
Validation Exp.,3,A3,1,2,2,1,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.633333333,NA,NA,NA,3.033333333,NA,NA
Validation Exp.,6,A6,1,2,3,2,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.133333333,NA,NA,NA,2.7,NA,NA
Validation Exp.,8,A8,1,2,1,2,FPsc,CR,Live,raw_avg_lf_11.07.17,5.05,NA,NA,NA,3.05,NA,NA
Validation Exp.,17,A17,1,2,4,5,FPsc,CR,Live,raw_avg_lf_11.07.17,4.933333333,NA,NA,NA,3.1,NA,NA
Validation Exp.,21,A21,2,2,4,6,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.55,NA,NA,NA,2.65,NA,NA
Validation Exp.,22,A22,2,2,3,6,FPsc,CR,Live,raw_avg_lf_11.07.17,4.75,NA,NA,NA,2.9,NA,NA
Validation Exp.,26,A26,2,2,3,7,FPsc,CR,Disrupted,raw_avg_lf_11.07.17,4.633333333,NA,NA,NA,2.55,NA,NA
